рубрика,исполнитель,песня,имя,ссылка,доп аккорды
зарубежное,битлз,hey jude,,https://amdm.ru/akkordi/the_beatles/2717/hey_jude/,
зарубежное,битлз,let it be,,https://amdm.ru/akkordi/beatles/147695/let_it_be/,
зарубежное,битлз,michelle,,https://amdm.ru/akkordi/the_beatles/102165/michelle/,
зарубежное,битлз,obladi-oblada,,https://amdm.ru/akkordi/beatles/28344/ob_la_di_ob_la_da/,
зарубежное,битлз,yellow submarine,,https://amdm.ru/akkordi/the_beatles/90595/yellow_submarine/,
зарубежное,битлз,yesterday,,https://amdm.ru/akkordi/the_beatles/93165/yesterday/,
русская поп-музыка,блестящие,а я всё летала,,https://amdm.ru/akkordi/blestaschie/23209/a_ya_vse_letala/,
русская поп-музыка,блестящие,восточные сказки,,https://amdm.ru/akkordi/blestaschie/90747/vostochnie_skazki/,
русский рок,браво,верю я,,https://amdm.ru/akkordi/bravo/92926/very_ya/,
русский рок,браво,жёлтые ботинки,,https://amdm.ru/akkordi/bravo/91490/zheltie_botinki/,
русский рок,браво,старый отель,,https://amdm.ru/akkordi/bravo/3153/stariy_otel/,
русская поп-музыка,бузова,под звуки поцелуев,ольга,https://amdm.ru/akkordi/olga_buzova/153596/pod_zvuki_poceluev/,
русская поп-музыка,бумбокс,вахтёрам (я помню белые обои),,https://amdm.ru/akkordi/bumboks/92370/vahteram/,
русская поп-музыка,бумбокс ,на 8-м этаже,,https://amdm.ru/akkordi/bumboks/115505/hottabich_dzhin_na_vosmom_etazhe/,
советские песни,бюль-бюль оглы,позвони скорей,Полад,https://amdm.ru/akkordi/polad_bylbyl_ogli/183970/pozvoni/,
русская поп-музыка,ваенга,снова стою одна,елена,http://akkordbard.ru/poispolnitelem/133-vaenga-elena/58548-snova-kuryu-mama,
зарубежное,вайт страйпс,seven nation army ,,https://amdm.ru/akkordi/white_stripes/87722/seven_nation_army/,
зарубежное,веласкес торрес,besame mucho,консуэло,https://amdm.ru/akkordi/raznye_pesni/5656/besame_mucho/,
советские песни,великанова,ландыши (ты сегодня мне принёс),гелена,https://amdm.ru/akkordi/nina_dorda/140656/landishi_svetlogo_maya_privet/,
советские песни,веселые ребята,люди встречаются,виа,https://amdm.ru/akkordi/veselie_rebata/21123/lydi_vstrechaytsya/,
советские песни,веселые ребята ,всё что в жизни есть у меня,виа,https://amdm.ru/akkordi/samocveti/97506/vse_chto_v_zhizni_est_u_menya/,
русская поп-музыка,виа гра,попытка №5,,https://amdm.ru/akkordi/via_gra/5088/popitka_5/,
русская поп-музыка,виа гра,притяженья больше нет (сто шагов назад),,https://amdm.ru/akkordi/via_gra/167869/sto_shagov_nazad_prityazhenya_bolshe_net/,
русская поп-музыка,витас,опера #2,,https://amdm.ru/akkordi/vitas/4736/opera_2/,
русская поп-музыка,гаязовс бразерс,малиновая лада,,https://amdm.ru/akkordi/gayazov_brother/187054/malinovaya_lada/,
советские песни,герман,город влюблённых людей,анна,https://amdm.ru/akkordi/anna_german/160397/gorod_vlyblennih_lydey/,
советские песни,герман,надежда (светит незнакомая звезда),анна,https://amdm.ru/akkordi/anna_german/14861/nadezhda/,
советские песни,герман,эхо любви,анна,https://amdm.ru/akkordi/anna_german/99316/mi_eho/,
русская поп-музыка,глюк'oza,"невеста (я буду вместо, вместо, вместо неё)",,https://amdm.ru/akkordi/glukoza/14840/nevesta/,
русская поп-музыка,глюк'oza,ненавижу,,https://amdm.ru/akkordi/glukoza/14829/nenavizhu/,
русская поп-музыка,гнатюк,птица счастья (завтрашнего дня),николай,"https://amdm.ru/akkordi/dobri_molodci/137467/ptica_schastya/#:~:text=E%20Am%20%D0%9F%D1%82%D0%B8%D1%86%D0%B0%20%D1%81%D1%87%D0%B0%D1%81%D1%82%D1%8C%D1%8F%20%D0%B7%D0%B0%D0%B2%D1%82%D1%80%D0%B0%D1%88%D0%BD%D0%B5%D0%B3%D0%BE,%D0%97%D0%B0%D0%B2%D1%82%D1%80%D0%B0%20%D0%B1%D1%83%D0%B4%D0%B5%D1%82%20%D0%BB%D1%83%D1%87%D1%88%D0%B5%2C%20%D1%87%D0%B5%D0%BC%20%D0%B2%D1%87%D0%B5%D1%80%D0%B0.",
советские песни,голубые гитары,ветер северный,виа,https://amdm.ru/akkordi/golubie_gitari/135412/veter_severniy/,
русская поп-музыка,градусы,режиссер (враг мой бойся меня),,https://amdm.ru/akkordi/gradusy/129844/rezhisser/,
